x
"1",0.31,"Premium","G","VS2",61.5,59,698,4.35,4.33,2.67
"2",0.5,"Ideal","H","IF",62.4,54,1844,5.1,5.13,3.19
"3",0.44,"Ideal","H","SI1",61.9,57,941,4.92,4.9,3.04
"4",0.33,"Ideal","H","VVS1",61.7,55,730,4.48,4.5,2.77
"5",0.31,"Very Good","H","VVS1",63.1,57,907,4.31,4.25,2.7
"6",1.01,"Ideal","G","VS1",62,57,6504,6.44,6.36,3.97
"7",0.32,"Ideal","F","VVS1",61.7,56,990,4.42,4.4,2.72
"8",1.07,"Very Good","E","SI2",61.7,58,5304,6.54,6.56,4.04
"9",1,"Very Good","D","SI1",59.3,61,5987,6.45,6.5,3.84
"10",0.46,"Ideal","J","VVS1",62.5,56,953,4.89,4.93,3.07
"11",0.72,"Very Good","F","SI1",61.1,54,2673,5.82,5.84,3.56
"12",0.31,"Very Good","E","VVS2",58.8,59,704,4.46,4.45,2.62
"13",0.53,"Ideal","D","VS2",61.2,55,1956,5.25,5.21,3.2
"14",0.41,"Ideal","F","VVS1",60.7,56,1295,4.81,4.85,2.93
"15",1.51,"Ideal","I","VS2",60.6,56,9442,7.44,7.47,4.52
"16",0.41,"Ideal","F","VVS2",61.9,55,1115,4.74,4.79,2.95
"17",0.31,"Premium","D","VS1",59.6,58,877,4.41,4.38,2.62
"18",0.54,"Good","G","VS1",59,62,1640,5.3,5.28,3.12
"19",1.5,"Premium","H","SI2",62.1,58,6458,7.31,7.21,4.51
"20",0.34,"Ideal","E","SI1",61,57,596,4.48,4.51,2.74
"21",1.01,"Very Good","H","SI1",63.6,56,4873,6.31,6.37,4.03
"22",0.35,"Premium","D","SI2",62.3,58,669,4.54,4.48,2.81
"23",0.7,"Fair","F","SI2",66.4,56,1564,5.51,5.42,3.63
"24",0.72,"Good","F","SI1",63.4,58,2647,5.66,5.69,3.6
"25",0.32,"Ideal","D","VS2",62.7,54,972,4.38,4.36,2.74
"26",0.43,"Premium","D","VS2",59.7,59,901,4.89,4.93,2.93
"27",0.52,"Premium","F","SI2",61.7,58,1219,5.16,5.12,3.17
"28",0.51,"Fair","F","VS2",61,66,1334,5.12,5.04,3.1
"29",0.23,"Premium","I","VVS1",60.5,61,414,3.98,3.95,2.4
"30",0.35,"Ideal","H","IF",60.5,56,921,4.56,4.59,2.77
"31",0.9,"Very Good","F","SI1",62.7,59,4119,6.12,6.16,3.85
"32",0.32,"Ideal","F","VS2",62.4,57,645,4.34,4.38,2.72
"33",0.56,"Premium","G","VS1",59.9,60,2013,5.41,5.37,3.23
"34",1.26,"Ideal","G","VVS2",61.4,55,12066,6.96,6.99,4.29
"35",1.52,"Good","H","SI1",63.6,57,10078,7.3,7.25,4.63
"36",0.5,"Premium","E","SI1",61.5,62,1415,5.09,5.06,3.12
